time (sec),ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),ref_gyro_x (rad/s),ref_gyro_y (rad/s),ref_gyro_z (rad/s),gyro_x (rad/s),gyro_y (rad/s),gyro_z (rad/s),mag_x (uT),mag_y (uT),mag_z (uT),ref_pos_x (m),ref_pos_y (m),ref_pos_z (m),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s),ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg),q0 (),q1,q2,q3
0.56,0.0,0.0,-9.7803253359,0.00951507782837099,0.009947679118842333,-9.770487825380314,0.0,0.0,0.0,2.7583477337340478e-05,-5.380448465477127e-05,-3.3613308276974116e-05,-3.2955411559463738e-06,4.035873928088095e-22,3.3370719636515816e-06,0.0,0.05600000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.57,0.0,0.0,-9.7803253359,0.00958265912186189,0.00998434249506852,-9.770438039823794,0.0,0.0,0.0,-0.00011973496752439767,-0.0002836591871688096,0.00029582260560761094,-3.306044179709068e-06,4.0487364225204467e-22,3.4541049425873835e-06,0.0,0.05700000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.58,0.0,0.0,-9.7803253359,0.010215118447015815,0.009289755372245353,-9.770490543377104,0.0,0.0,0.0,-1.9984920505055518e-05,9.16662258304665e-05,4.564385416906465e-05,-3.3136801836006975e-06,4.0580878302446084e-22,3.5731097862249413e-06,0.0,0.058000000000000045,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.59,0.0,0.0,-9.7803253359,0.010423339327417212,0.009769715780753661,-9.770722627870468,0.0,0.0,0.0,-4.331892781537942e-05,-8.270208566223e-05,0.00021843466337400966,-3.318298769377389e-06,4.0637439665326205e-22,3.6939816886090148e-06,0.0,0.059000000000000045,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6,0.0,0.0,-9.7803253359,0.009876034205697527,0.010411301175819022,-9.769545258948451,0.0,0.0,0.0,-5.106338161733255e-05,-8.379393683904283e-05,-0.00018341837665022351,-3.3197499715882714e-06,4.0655211766750936e-22,3.816604340222569e-06,0.0,0.060000000000000046,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.61,0.0,0.0,-9.7803253359,0.010129211012598251,0.009620082178767565,-9.770273688091017,0.0,0.0,0.0,-9.58953479535031e-05,-5.468659636104569e-05,0.0003681001281189482,-3.3178849574327013e-06,4.06323719305911e-22,3.94084963536554e-06,0.0,0.06100000000000005,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.62,0.0,0.0,-9.7803253359,0.009925794035259821,0.009906529905600807,-9.770104269356676,0.0,0.0,0.0,0.00027930714535569055,-4.836159244272766e-06,-0.00028442609842773206,-3.3125567747319055e-06,4.0567120511693075e-22,4.066577427435164e-06,0.0,0.06200000000000005,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.63,0.0,0.0,-9.7803253359,0.009939374135127415,0.010316719721145892,-9.770143337965594,0.0,0.0,0.0,1.0031638728973036e-05,-2.7677294932326716e-05,0.0003319663542759241,-3.303621146158936e-06,4.045769062239051e-22,4.193635338344119e-06,0.0,0.06300000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.64,0.0,0.0,-9.7803253359,0.0100768847818306,0.009871681689261395,-9.77064519314818,0.0,0.0,0.0,0.00015902644710187168,-3.112630558870999e-05,-8.550748551489196e-05,-3.2909373072148173e-06,4.030235839475236e-22,4.321858628396564e-06,0.0,0.06400000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.65,0.0,0.0,-9.7803253359,0.0099568035045289,0.010307612841087855,-9.77035478715834,0.0,0.0,0.0,0.00019274809968741554,8.08798606943706e-05,1.3954452538271666e-05,-3.274368884728982e-06,4.009945373911037e-22,4.451070132901908e-06,0.0,0.06500000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.66,0.0,0.0,-9.7803253359,0.009834055147615607,0.009817894826512033,-9.76992835643544,0.0,0.0,0.0,0.00015445080970623163,-0.00011107507933834633,-3.880403632920585e-06,-3.2537848119087378e-06,3.9847371550183084e-22,4.581080271700906e-06,0.0,0.06600000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
