accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.033084143923306344e-02,4.169174602179489750e-03,-9.801496830077095268e+00
3.911111690287225051e-03,-8.787744476486810188e-03,-9.799386503139807303e+00
-9.435971231653232649e-03,5.945195011343588952e-04,-9.798368518173406372e+00
3.450537177751380503e-03,9.441132098500117217e-04,-9.800320458455338724e+00
4.561674185493677647e-03,6.514281687910044270e-03,-9.784152307952586725e+00
3.849847881840030243e-03,-2.190725815424783823e-03,-9.803083715330373593e+00
-7.931082091080903992e-03,6.768143923514369914e-03,-9.780918469886806577e+00
-3.627598192054489606e-03,-4.242957177106865090e-03,-9.790102899916037771e+00
9.252448980892409754e-04,2.506787466146190562e-03,-9.796257823322527258e+00
-5.625213779078118426e-03,8.664117303825256012e-04,-9.797002593862835340e+00
2.106350061228349970e-03,1.735865842466691742e-03,-9.795741430922072723e+00
-2.303383262799060718e-03,-8.680250128009223479e-03,-9.791763865412720591e+00
-1.697036941941379787e-03,-2.812328068299525113e-03,-9.799810536060954647e+00
5.343168617121576633e-03,6.164343296749010860e-03,-9.784193757346644205e+00
9.077334533916726206e-03,3.920148600583385143e-03,-9.785691054249765486e+00
-2.305454075680651600e-03,1.018942780301248206e-03,-9.789034139165583071e+00
5.035659960447028821e-03,-3.013929467753750056e-03,-9.801810649779508111e+00
-3.857885001601432228e-03,-6.837246938505774779e-03,-9.791559264314084743e+00
-1.310973511610706403e-02,-6.680332351697923152e-03,-9.810365812795883045e+00
2.717899824689041632e-03,-4.029237923567445361e-03,-9.789169226735408458e+00
1.008202893078368259e-02,6.383267852369852412e-03,-9.793448168005443932e+00
-1.024514490668798107e-02,-1.568767991595827358e-03,-9.792971668053747081e+00
4.188989257182499856e-03,1.167122862153395372e-03,-9.797786936941642821e+00
1.198760418460249715e-02,7.419640966488255662e-03,-9.785046374076323161e+00
2.996225698117418296e-04,-4.190419774906566780e-03,-9.793630656888787200e+00
2.272620788070041885e-03,4.506096575341011178e-03,-9.794709311556026421e+00
4.582944815948563309e-03,1.879799493222548230e-03,-9.791462975257084977e+00
1.084780015017534210e-02,1.052302036420472812e-02,-9.785838881225718211e+00
2.480120484881879160e-03,4.892571951823957398e-03,-9.791540029241268428e+00
-6.244899776803591006e-03,-7.382646931301270130e-03,-9.798970399627776828e+00
3.375347806219469553e-03,7.101891537578614369e-03,-9.788241287686787473e+00
-3.697100057408261344e-03,6.741528204661553433e-03,-9.791180051408199247e+00
-1.670723754587674940e-03,2.273407531942673795e-03,-9.792117417260778112e+00
7.264055607553506801e-03,-8.079905562439478744e-03,-9.780439218698640857e+00
-1.153507494597992350e-03,1.427877803902083929e-02,-9.795130531871834023e+00
-7.217919838123860836e-03,-2.282297247116087113e-03,-9.800706947667444879e+00
-1.573856592238100788e-03,5.497876060533192673e-03,-9.784757641224734570e+00
7.207815849308602842e-03,-8.234073144896014197e-04,-9.797560322665100685e+00
-3.377875110268695126e-04,-1.224099631172098721e-03,-9.799307487306759157e+00
2.217821733618683625e-03,6.188736482221172085e-03,-9.795627057706312257e+00
-7.368175791967016301e-04,-1.406071009732778225e-03,-9.804916735806227024e+00
-2.387005557284495663e-03,6.078774650754705661e-03,-9.798401413560398510e+00
-4.171275199269432014e-03,2.512688357578415129e-03,-9.783775309415926102e+00
-1.066002219472237007e-02,5.084011343066794850e-03,-9.791225720384689524e+00
-5.895171352206381946e-04,-1.511376435313218454e-03,-9.797862837740781927e+00
3.089535283136279203e-03,1.045973619963298275e-02,-9.786713158358786302e+00
-7.284853703734362005e-04,-7.285965876031572953e-04,-9.794718117695051518e+00
-1.111331343854103995e-02,7.493702693022141065e-03,-9.802648967132235214e+00
5.580242214020045624e-03,1.039978683787559297e-02,-9.792876339163274935e+00
-4.116845201189735064e-03,2.806345084518026278e-03,-9.796463891139971736e+00
3.129930558579873713e-03,-1.155392214557895200e-03,-9.794844903254531943e+00
-7.735817427069296461e-03,4.182707260051855835e-03,-9.796664485160379243e+00
-7.516208039859019648e-03,-2.764682261230484370e-03,-9.799474172267307992e+00
1.029649750038713271e-02,-2.562641226061036261e-05,-9.797745228724558331e+00
-3.835726873439274705e-03,-8.979698349632875970e-03,-9.789929750838242128e+00
-3.093687625504034765e-03,-4.187589432926890759e-03,-9.792374880919355817e+00
-1.436655868032626210e-02,6.527941675172938170e-05,-9.794819984899620025e+00
4.036506043780174399e-03,6.975368434381652412e-04,-9.792470957475202908e+00
4.827287987171593152e-03,1.232252449914414058e-02,-9.794702908998639046e+00
1.549645493320299643e-03,-8.089294937649353038e-04,-9.791309691954825922e+00
-1.005835707072007127e-03,-2.726416828033531234e-03,-9.804558151556767243e+00
-5.669194384657428101e-03,6.421986261405067051e-03,-9.792611558965885976e+00
-3.245960856553061977e-03,6.103065978664575994e-03,-9.793973874223176779e+00
-1.026416243374238778e-03,4.453409369122885222e-03,-9.795097015180274980e+00
5.068801463045439180e-03,2.537864960890269615e-03,-9.793412150569496433e+00
1.412995880716654343e-03,-5.390822734246100527e-03,-9.798053857943337164e+00
6.598246725849598628e-03,2.175133612002284455e-03,-9.792978373992697882e+00
1.011380457506412360e-02,-2.434432779520811010e-03,-9.802548632910273341e+00
3.373428871046922888e-03,-3.250432587488318124e-03,-9.801273470085169137e+00
8.838240546264415675e-04,2.960793846983060702e-03,-9.795032038889861070e+00
-4.214402848027476271e-03,5.231151147842495047e-03,-9.790586670659889634e+00
1.480874361008805611e-03,3.153670222713503800e-03,-9.789045976039902897e+00
5.555668653775378170e-03,2.250981333888501038e-03,-9.796472508124113077e+00
1.772714178831924199e-03,8.514538031378676014e-03,-9.795238816839139773e+00
-7.991855277129320326e-03,1.404209507651787807e-03,-9.795233029084542409e+00
-4.932800538738247795e-03,1.045725998064505995e-03,-9.786635046902167900e+00
-3.505484660717360281e-03,-3.617198150784178834e-04,-9.799451309232003027e+00
2.357229291974357200e-03,-2.057219481645148566e-03,-9.794148383983422690e+00
3.306928933499044768e-03,-1.254309004792341503e-02,-9.790599330219370344e+00
-3.158477890749804024e-03,6.576490920861174580e-03,-9.793990954400209503e+00
-5.465089255055581921e-03,-4.408172506023225624e-04,-9.793488136238346797e+00
7.083327312048826388e-03,2.458567165808344963e-03,-9.792958797206141597e+00
-1.347352359294098217e-02,1.083456065282412638e-02,-9.791269496293283581e+00
2.672166486687480805e-03,-4.845061578076978979e-03,-9.796588580690890780e+00
